Postcode,SA4,Relevance
2541,Southern Highlands and Shoalhaven,1.0
2545,Capital Region,1.0
2546,Capital Region,1.0
2548,Capital Region,1.0
2549,Capital Region,1.0
2550,Capital Region,1.0
2551,Capital Region,1.0
2555,Sydney - Outer West and Blue Mountains,0.084338
2555,Sydney - South West,0.915662
2556,Sydney - South West,1.0
2557,Sydney - South West,1.0
2558,Sydney - Outer South West,1.0
2559,Sydney - Outer South West,1.0
2560,Illawarra,0.0001389
2560,Sydney - Outer South West,0.9998611
2563,Sydney - Outer South West,1.0
2564,Sydney - Outer South West,1.0
2565,Sydney - Outer South West,1.0
2566,Sydney - Outer South West,1.0
2567,Sydney - Outer South West,1.0
2568,Sydney - Outer South West,1.0
2569,Sydney - Outer South West,1.0
2570,Sydney - Outer South West,0.9573801
2570,Sydney - South West,0.0426198
2571,Southern Highlands and Shoalhaven,0.0336662
2571,Sydney - Outer South West,0.9663337
2572,Sydney - Outer South West,1.0
2573,Sydney - Outer South West,1.0
2574,Sydney - Outer South West,0.9999985
2575,Southern Highlands and Shoalhaven,0.9999998
2576,Southern Highlands and Shoalhaven,1.0
2577,Illawarra,0.0001413
2577,Southern Highlands and Shoalhaven,0.9998587
2578,Southern Highlands and Shoalhaven,1.0
2579,Capital Region,0.5658275
2579,Southern Highlands and Shoalhaven,0.4341725
2580,Capital Region,0.9992643
2580,Central West,0.0007357
2581,Capital Region,1.0
2582,Capital Region,1.0
2583,Capital Region,0.9985281
2583,Central West,0.0014719
2584,Capital Region,1.0
2585,Capital Region,1.0
2586,Capital Region,1.0
2587,Capital Region,1.0
2588,Riverina,1.0
2590,Riverina,1.0
2594,Capital Region,0.9933073
2594,Central West,0.0045198
2594,Riverina,0.002173
2600,Australian Capital Territory,1.0
2601,Australian Capital Territory,1.0
2602,Australian Capital Territory,1.0
2603,Australian Capital Territory,1.0
2604,Australian Capital Territory,1.0
2605,Australian Capital Territory,1.0
2606,Australian Capital Territory,1.0
2607,Australian Capital Territory,1.0
2609,Australian Capital Territory,1.0
2611,Capital Region,0.0010005
2611,Riverina,0.0014356
2611,Australian Capital Territory,0.9975639
2612,Australian Capital Territory,1.0
2614,Australian Capital Territory,1.0
2615,Australian Capital Territory,0.9999503
2617,Australian Capital Territory,1.0
2618,Capital Region,0.7589782
2618,Australian Capital Territory,0.2410218
2619,Capital Region,1.0
2620,Capital Region,0.9750251
2620,Australian Capital Territory,0.0249749
2621,Capital Region,1.0
2622,Capital Region,0.9949147
2622,Southern Highlands and Shoalhaven,0.0050853
2623,Capital Region,1.0
2624,Riverina,1.0
2625,Capital Region,1.0
2626,Capital Region,1.0
2627,Capital Region,0.9999998
2628,Capital Region,1.0
2629,Capital Region,0.9054266
2629,Riverina,0.0945734
2630,Capital Region,1.0
2631,Capital Region,1.0
2632,Capital Region,1.0
2633,Capital Region,0.9999999
2640,Murray,0.9990335
2640,Riverina,0.0007857
2640,Hume,0.0001808
2641,Murray,1.0
2642,Murray,0.7735997
2642,Riverina,0.2258418
2642,Hume,0.0005585
2643,Murray,1.0
2644,Murray,0.998178
2644,Riverina,0.001822
2645,Murray,0.9611426
2645,Riverina,0.0388574
2646,Murray,1.0
2647,Murray,1.0
2648,Far West and Orana,0.0037395
2648,Murray,0.9962605
2649,Riverina,1.0
2650,Murray,0.0023265
2650,Riverina,0.9976735
2651,Riverina,1.0
2652,Riverina,1.0
2653,Riverina,1.0
2655,Riverina,1.0
2656,Riverina,1.0
2658,Murray,0.8252365
2658,Riverina,0.1747635
2659,Murray,1.0
2660,Murray,1.0
2661,Riverina,1.0
2663,Riverina,1.0
2665,Central West,0.1402037
2665,Riverina,0.8597963
2666,Capital Region,0.0047044
2666,Central West,0.000941
2666,Riverina,0.9943545
2668,Central West,0.9250062
2668,Riverina,0.0749938
2669,Central West,0.8611506
2669,Riverina,0.1388494
2671,Central West,1.0
2672,Central West,0.9330184
